pvog	annotation_processed	annotation_raw
VOG8290	major coat	major coat protein
VOG8291	unknown	hypothetical protein
VOG8292	unknown	hypothetical protein
VOG8293	unknown	hypothetical protein
VOG8294	unknown	unknown
VOG8295	LydD	LydD
VOG8296	OdaA	OdaA
VOG8297	PmgA	PmgA
VOG8298	RepA	RepA
VOG8299	ShtB	ShtB
VOG8300	unknown	hypothetical protein
VOG8301	unknown	hypothetical protein
VOG8302	unknown	hypothetical protein
VOG8303	S-adenosylmethionine synthetase	putative S-adenosylmethionine synthetase
VOG8304	unknown	hypothetical protein
VOG8305	unknown	hypothetical protein
VOG8306	envelope	putative envelope protein
VOG8307	unknown	hypothetical protein
VOG8308	unknown	unknown
VOG8309	unknown	hypothetical protein
VOG8310	unknown	hypothetical protein
VOG8311	unknown	hypothetical protein
VOG8312	unknown	hypothetical protein
VOG8313	gp8	gp8
VOG8314	gp11	gp11
VOG8315	gp15	gp15
VOG8316	gp21	gp21
VOG8317	gp23	gp23
VOG8318	unknown	hypothetical protein
